count,Region,destination,amount,year,Key
1217,Bay of Plenty,Canterbury,27,2017,1
1219,Taranaki,Canterbury,12,2017,1
1222,Manawatu-Wanganui,Canterbury,16,2017,1
1226,Tasman-Nelson-Marlborough,Canterbury,261,2017,1
1228,Canterbury,Canterbury,11850,2017,1
1230,Otago,Canterbury,0,2017,1
1231,Southland,Canterbury,322,2017,1
1233,Northland,South Canterbury,4,2017,1
1235,Auckland,South Canterbury,3,2017,1
1237,Waikato,South Canterbury,7,2017,1
1239,Bay of Plenty,South Canterbury,3,2017,1
1241,Taranaki,South Canterbury,1,2017,1
1244,Manawatu-Wanganui,South Canterbury,3,2017,1
1248,Tasman-Nelson-Marlborough,South Canterbury,26,2017,1
1250,Canterbury,South Canterbury,134,2017,1
1252,Otago,South Canterbury,0,2017,1
1253,Southland,South Canterbury,79,2017,1
1255,Northland,Southern,12,2017,1
1257,Auckland,Southern,33,2017,1
1259,Waikato,Southern,31,2017,1
1261,Bay of Plenty,Southern,15,2017,1
1263,Taranaki,Southern,9,2017,1
1266,Manawatu-Wanganui,Southern,3,2017,1
1270,Tasman-Nelson-Marlborough,Southern,50,2017,1
1272,Canterbury,Southern,213,2017,1
1274,Otago,Southern,0,2017,1
1275,Southland,Southern,9931,2017,1
1277,Northland,Waitematā,738,2018,1
1279,Auckland,Waitematā,5755,2018,1
1281,Waikato,Waitematā,454,2018,1
1283,Bay of Plenty,Waitematā,162,2018,1
1285,Taranaki,Waitematā,36,2018,1
1288,Manawatu-Wanganui,Waitematā,30,2018,1
1292,Tasman-Nelson-Marlborough,Waitematā,39,2018,1
1294,Canterbury,Waitematā,77,2018,1
1296,Otago,Waitematā,0,2018,1
1297,Southland,Waitematā,62,2018,1
1299,Northland,Auckland,204,2018,1
1301,Auckland,Auckland,11170,2018,1
1303,Waikato,Auckland,257,2018,1
1305,Bay of Plenty,Auckland,134,2018,1
1307,Taranaki,Auckland,44,2018,1
1310,Manawatu-Wanganui,Auckland,18,2018,1
1314,Tasman-Nelson-Marlborough,Auckland,27,2018,1
1316,Canterbury,Auckland,70,2018,1
1318,Otago,Auckland,0,2018,1
1319,Southland,Auckland,70,2018,1
1321,Northland,Counties Manukau,121,2018,1
1323,Auckland,Counties Manukau,1303,2018,1
